energy,tempo,danceability,liveness,valence,duration_ms,loudness,playlist_genre,track_name,track_artist,track_popularity,analysis_url
,,,,,,,lofi,Make It,Berhanio,50,
0.000202,71.599,0.124,0.11,0.0346,186388,-43.713,ambient,Foundation,Matheo Lyon,61,https://api.spotify.com/v1/audio-analysis/15TwhLj4nBzXJ6LNkkMrF2
0.000237,73.664,0.172,0.11,0.0383,195466,-44.525,ambient,Reconcile,Jan Garlow,61,https://api.spotify.com/v1/audio-analysis/3ICePNxRuTz1ufDJC7cq08
0.00024,68.518,0.193,0.109,0.0779,199968,-37.46,wellness,Intergalactico,Universo,43,https://api.spotify.com/v1/audio-analysis/0Ofa1VBQNy5iV9LyyX0iw1
0.000251,72.786,0.144,0.11,0.0552,172800,-37.623,wellness,Aspiration,Silent Motions,46,https://api.spotify.com/v1/audio-analysis/6uSzJ1maVPTAkGS9YdLIQy
0.000323,73.109,0.181,0.109,0.0335,161250,-38.693,wellness,Pembebasan,Waneesa,53,https://api.spotify.com/v1/audio-analysis/6hdh7SrQIAckKv5hvGSI3L
0.000438,137.949,0.143,0.111,0.0418,144625,-39.3,wellness,Isolate My Soul,Stormfields,46,https://api.spotify.com/v1/audio-analysis/6E2bLDnK8ivZpPg3GHheAX
0.000487,172.224,0.0823,0.11,0.0349,138142,-34.601,ambient,Kamala Whispers,Gerda Holmes,50,https://api.spotify.com/v1/audio-analysis/7vuiorqf35I6w77KN6SX9v
0.000522,60.37,0.148,0.113,0.0578,186688,-43.592,wellness,Aligne,Casiamty,47,https://api.spotify.com/v1/audio-analysis/09Y2QXKWb5cTg8GeHNK3L2
0.000539,134.125,0.152,0.108,0.0371,205738,-35.475,ambient,Bondade,Adrian Eden,46,https://api.spotify.com/v1/audio-analysis/2Gw3X5DvHENIOD0ZxOfS5s
0.000546,141.408,0.135,0.0908,0.0487,180923,-43.098,ambient,Timeless,Elm Lake,45,https://api.spotify.com/v1/audio-analysis/4OgLtqCE1dMYnEdcgZ0ZSS
0.000642,71.7,0.0589,0.114,0.424,171750,-38.447,ambient,Rosy,Misha Burton,44,https://api.spotify.com/v1/audio-analysis/6kL9qu9SsGGp8DUIT52j3n
0.000778,69.847,0.133,0.11,0.0464,187727,-36.902,ambient,A Place For The Mind,n.i.g.h.t,53,https://api.spotify.com/v1/audio-analysis/7geKBGxxwkJI9AKgEFXvXJ
0.00081,134.584,0.151,0.112,0.0389,175720,-36.747,ambient,Aurora,So Lis,60,https://api.spotify.com/v1/audio-analysis/2haUT5yGg6OK1D1GU87JlO
0.000816,136.037,0.148,0.09,0.267,178000,-39.215,ambient,Exhale,Placidous,43,https://api.spotify.com/v1/audio-analysis/77V2oQd9cpcMBx5UYcZ8wl
0.000824,69.856,0.166,0.109,0.0323,160125,-42.18,wellness,Cycle of Emotions,Benjin Blund,47,https://api.spotify.com/v1/audio-analysis/7L1ExUYs6SqaCu5o4G8umc
0.000835,74.578,0.0668,0.111,0.0357,172432,-38.7,ambient,Eon,Luna Novina,48,https://api.spotify.com/v1/audio-analysis/1lEmgReLHaCJHJwG4OCo13
0.000931,69.504,0.132,0.125,0.183,187186,-35.376,wellness,Undulating,Joseff Shields,45,https://api.spotify.com/v1/audio-analysis/77X5JEYLRwx9G3DCJ3PVsn
0.000947,71.912,0.158,0.137,0.0325,165000,-42.911,ambient,Doldrums,Joseff Shields,53,https://api.spotify.com/v1/audio-analysis/7EM9OzuJlYg9aKTpBHiocx
0.000952,69.919,0.185,0.0966,0.0723,167671,-43.296,ambient,Expectations,different spaces,48,https://api.spotify.com/v1/audio-analysis/5jiRq2Z5eEZUvCn32XDExZ
